top,bottom,cue,prompt
507_MEDLOW.jpg,1284_HIGH.jpg,0,1
778_MEDLOW.jpg,110_HIGH.jpg,3,0
691_MEDLOW.jpg,327_HIGH.jpg,2,1
1340_MEDLOW.jpg,919_HIGH.jpg,1,0
645_MEDLOW.jpg,393_HIGH.jpg,0,1
390_MEDLOW.jpg,1218_HIGH.jpg,3,0
608_MEDLOW.jpg,875_HIGH.jpg,2,1
1159_MEDLOW.jpg,618_HIGH.jpg,1,0
734_MEDLOW.jpg,571_HIGH.jpg,0,1
891_MEDLOW.jpg,41_HIGH.jpg,3,0
599_MEDLOW.jpg,704_HIGH.jpg,2,1
233_MEDLOW.jpg,146_HIGH.jpg,1,0
365_MEDLOW.jpg,342_HIGH.jpg,0,1
666_MEDLOW.jpg,3_HIGH.jpg,3,0
344_MEDLOW.jpg,68_HIGH.jpg,2,1
621_MEDLOW.jpg,1346_HIGH.jpg,1,0
93_MEDLOW.jpg,184_HIGH.jpg,0,1
726_MEDLOW.jpg,1299_HIGH.jpg,3,0
81_MEDLOW.jpg,292_HIGH.jpg,2,1
671_MEDLOW.jpg,313_HIGH.jpg,1,0
158_MEDLOW.jpg,1324_HIGH.jpg,0,1
405_MEDLOW.jpg,508_HIGH.jpg,3,0
403_MEDLOW.jpg,1256_HIGH.jpg,2,1
351_MEDLOW.jpg,58_HIGH.jpg,1,0
302_MEDLOW.jpg,334_HIGH.jpg,0,1
1306_MEDLOW.jpg,616_HIGH.jpg,3,0
1020_MEDLOW.jpg,740_HIGH.jpg,2,1
783_MEDLOW.jpg,173_HIGH.jpg,1,0
907_MEDLOW.jpg,1154_HIGH.jpg,0,1
505_MEDLOW.jpg,852_HIGH.jpg,3,0
1166_MEDLOW.jpg,1281_HIGH.jpg,2,1
490_MEDLOW.jpg,315_HIGH.jpg,1,0
28_MEDLOW.jpg,926_HIGH.jpg,0,1
1337_MEDLOW.jpg,690_HIGH.jpg,3,0
1263_MEDLOW.jpg,868_HIGH.jpg,2,1
377_MEDLOW.jpg,371_HIGH.jpg,1,0
116_MEDLOW.jpg,806_LOW.jpg,3,0
434_MEDLOW.jpg,633_LOW.jpg,2,1
548_MEDLOW.jpg,959_LOW.jpg,1,0
810_MEDLOW.jpg,1084_LOW.jpg,0,1
642_MEDLOW.jpg,1283_LOW.jpg,3,0
1257_MEDLOW.jpg,583_LOW.jpg,2,1
1380_MEDLOW.jpg,763_LOW.jpg,1,0
1091_MEDLOW.jpg,696_LOW.jpg,0,1
1004_MEDLOW.jpg,516_LOW.jpg,3,0
1168_MEDLOW.jpg,1143_LOW.jpg,2,1
917_MEDLOW.jpg,1081_LOW.jpg,1,0
103_MEDLOW.jpg,1365_LOW.jpg,0,1
780_MEDLOW.jpg,820_LOW.jpg,3,0
347_MEDLOW.jpg,1070_LOW.jpg,2,1
1100_MEDLOW.jpg,677_LOW.jpg,1,0
24_MEDLOW.jpg,1193_LOW.jpg,0,1
833_MEDLOW.jpg,1385_LOW.jpg,3,0
792_MEDLOW.jpg,911_LOW.jpg,2,1
957_MEDLOW.jpg,798_LOW.jpg,1,0
1144_MEDLOW.jpg,1334_LOW.jpg,0,1
1001_MEDLOW.jpg,1180_LOW.jpg,3,0
859_MEDLOW.jpg,356_LOW.jpg,2,1
755_MEDLOW.jpg,969_LOW.jpg,1,0
756_MEDLOW.jpg,635_LOW.jpg,0,1
76_MEDLOW.jpg,539_LOW.jpg,3,0
289_MEDLOW.jpg,967_LOW.jpg,2,1
56_MEDLOW.jpg,1356_LOW.jpg,1,0
1410_MEDLOW.jpg,718_LOW.jpg,0,1
23_MEDLOW.jpg,1355_LOW.jpg,3,0
127_MEDLOW.jpg,1033_LOW.jpg,2,1
