top,bottom,flicker
0623MedLowNoise.jpg,0776MedHighNoise.jpg,0
0550MedLowNoise.jpg,0060MedHighNoise.jpg,0
0828MedLowNoise.jpg,0705MedHighNoise.jpg,0
0850MedLowNoise.jpg,0012MedHighNoise.jpg,0
0460MedLowNoise.jpg,0902MedHighNoise.jpg,0
0450MedLowNoise.jpg,0897MedHighNoise.jpg,2
0977MedLowNoise.jpg,0024MedHighNoise.jpg,2
0046MedLowNoise.jpg,0445MedHighNoise.jpg,2
0370MedLowNoise.jpg,1011MedHighNoise.jpg,2
0416MedLowNoise.jpg,1021MedHighNoise.jpg,2
0871MedLowNoise.jpg,0417MedHighNoise.jpg,2
0683MedLowNoise.jpg,0260MedHighNoise.jpg,2
0657MedLowNoise.jpg,0426MedHighNoise.jpg,2
0184MedLowNoise.jpg,0209MedHighNoise.jpg,2
1000MedLowNoise.jpg,0449MedHighNoise.jpg,2
0264MedLowNoise.jpg,0744MedHighNoise.jpg,1
0242MedLowNoise.jpg,0052MedHighNoise.jpg,1
0886MedLowNoise.jpg,0120MedHighNoise.jpg,1
0896MedLowNoise.jpg,0791MedHighNoise.jpg,1
0056MedLowNoise.jpg,0163MedHighNoise.jpg,1
0383MedLowNoise.jpg,1139MedHighNoise.jpg,1
0206MedLowNoise.jpg,0321MedHighNoise.jpg,1
0686MedLowNoise.jpg,0989MedHighNoise.jpg,1
0938MedLowNoise.jpg,0462MedHighNoise.jpg,1
0721MedLowNoise.jpg,0719MedHighNoise.jpg,1
0708MedLowNoise.jpg,0668MedHighNoise.jpg,3
0812MedLowNoise.jpg,1049MedHighNoise.jpg,3
0532MedLowNoise.jpg,0894MedHighNoise.jpg,3
0492MedLowNoise.jpg,0834MedHighNoise.jpg,3
0314MedLowNoise.jpg,1010MedHighNoise.jpg,3
0858MedLowNoise.jpg,1099MedHighNoise.jpg,3
0958MedLowNoise.jpg,0404MedHighNoise.jpg,3
1041MedLowNoise.jpg,1034MedHighNoise.jpg,3
0110MedLowNoise.jpg,0601MedHighNoise.jpg,3
0751MedLowNoise.jpg,0605MedHighNoise.jpg,3
